name,borough_name,latitude,longitude,url,manual_frequency,keywords,frequency,keyword_frequency
Gidea Park Library,Havering,51.57949079,0.20753372,,,,,
Romford Central Library,Havering,51.58027,0.185138066,,,,,
Walthamstow Library,Waltham Forest,51.5839726,-0.019438984,https://www.walthamforest.gov.uk/content/walthamstow-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Hendon,Barnet,51.58809113,-0.227360361,https://www.barnet.gov.uk/libraries/find-your-local-library/hendon-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Pinner,Harrow,51.59090052,-0.378912076,,,,,
Marcus Garvey Library,Haringey,51.58767917,-0.072436947,http://www.haringey.gov.uk/marcus-garvey-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
Kenton,Harrow,51.59214569,-0.309678337,,,,,
Marks Gate,Barking and Dagenham,51.58490561,0.137516448,,,,,
Muswell Hill Library,Haringey,51.59062359,-0.141789878,http://www.haringey.gov.uk/muswell-hill-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Wealdstone,Harrow,51.59364474,-0.333374798,,,,,
Clayhall Library,Redbridge,51.58979452,0.051056985,,,,,
East Finchley,Barnet,51.59342094,-0.165973843,https://www.barnet.gov.uk/libraries/find-your-local-library/east-finchley-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Wood Street Library,Waltham Forest,51.59105708,-0.002843915,https://www.walthamforest.gov.uk/libraries/local-libraries/wood-street-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",3
Wood Green Central Library and Customer Services,Haringey,51.59502191,-0.108052332,http://www.haringey.gov.uk/wood-green-central-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
Fullwell Cross Library,Redbridge,51.59269709,0.08689642,,,,,
Higham Hill Library,Waltham Forest,51.59527813,-0.025878336,https://www.walthamforest.gov.uk/libraries/local-libraries/higham-hill-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",4
Northwood Hills Library,Hillingdon,51.60229864,-0.406724744,,,,,
