library,libraryLabel,urls,coords
http://www.wikidata.org/entity/Q62666451,Wishaw Library,https://culturenl.co.uk/libraries/your-library/wishaw-library/,Point(-3.919222 55.774998)
http://www.wikidata.org/entity/Q62666452,Stromness Library,http://www.orkneylibrary.org.uk/kirklibrary.htm,Point(-3.297409 58.963858)
http://www.wikidata.org/entity/Q62666454,Birnam Library,https://www.culturepk.org.uk/your-local-library/birnam-library/,Point(-3.577643 56.55828)
http://www.wikidata.org/entity/Q62666455,Coupar Angus Library,https://www.culturepk.org.uk/your-local-library/coupar-angus-library/,Point(-3.26584 56.546995)
http://www.wikidata.org/entity/Q62666457,Eyemouth Library,https://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/eyemouth_library(1).aspx,Point(-2.088544 55.871705)
http://www.wikidata.org/entity/Q62666459,Alloway Library,https://www.south-ayrshire.gov.uk/libraries/branches/alloway-library.aspx,Point(-4.630221 55.466063)
http://www.wikidata.org/entity/Q62666460,Troon Library,https://www.south-ayrshire.gov.uk/libraries/branches/troon-library.aspx,Point(-4.661526 55.542763)
http://www.wikidata.org/entity/Q62666461,Bothwell Library,http://www.slleisureandculture.co.uk/info/76/bothwell_library,Point(-4.06581 55.802166)
http://www.wikidata.org/entity/Q62666463,Lesmahagow Library,http://www.slleisureandculture.co.uk/info/91/lesmahagow_library,Point(-3.886652 55.638085)
http://www.wikidata.org/entity/Q62666464,Uddingston Library,http://www.slleisureandculture.co.uk/info/97/uddingston_library,Point(-4.078964 55.818818)
http://www.wikidata.org/entity/Q62666466,Balloch Library,https://www.west-dunbarton.gov.uk/libraries/library-branches/balloch-library/,Point(-4.572852 56.002065)
http://www.wikidata.org/entity/Q62666467,Armadale Library,https://www.westlothian.gov.uk/article/2215/Armadale-Library,Point(-3.699673 55.900882)
http://www.wikidata.org/entity/Q62666469,Bathgate Library,https://www.westlothian.gov.uk/article/2228/Simpson-Library-Bathgate,Point(-3.64412 55.901412)
http://www.wikidata.org/entity/Q62666474,Whitburn Library,https://www.westlothian.gov.uk/article/2261/Whitburn-Library,Point(-3.688684 55.865858)
http://www.wikidata.org/entity/Q62668009,Ardnamurchan Community Library,https://www.highlifehighland.com/libraries/ardnamurchan-community-library/,Point(-5.831184 57.005548)
http://www.wikidata.org/entity/Q62668011,Bettyhill Library,https://www.highlifehighland.com/libraries/bettyhill-library-and-service-point/,Point(-4.222317 58.525256)
http://www.wikidata.org/entity/Q62668012,Bonar Bridge Library,https://www.highlifehighland.com/libraries/bonar-bridge-library/,Point(-4.34668 57.892928)
http://www.wikidata.org/entity/Q62668014,Brora Cultural Centre and Library,https://www.highlifehighland.com/libraries/brora-library-and-cultural-centre/,Point(-3.853226 58.010288)
http://www.wikidata.org/entity/Q62668015,Caol Library,https://www.highlifehighland.com/libraries/caol-library/,Point(-5.10647 56.838883)
http://www.wikidata.org/entity/Q62668016,Cromarty Library,https://www.highlifehighland.com/libraries/cromarty-library/,Point(-4.031215 57.680037)
http://www.wikidata.org/entity/Q62668018,Culloden Library,https://www.highlifehighland.com/libraries/culloden-library/,Point(-4.141191 57.487416)
http://www.wikidata.org/entity/Q62668019,Dingwall Community Library,https://www.highlifehighland.com/libraries/dingwall-community-library/,Point(-4.432329 57.601094)
http://www.wikidata.org/entity/Q62668020,Dornoch Library,https://www.highlifehighland.com/libraries/dornoch-library/,Point(-4.029213 57.880699)
http://www.wikidata.org/entity/Q62668021,Fortrose Community Library,https://www.highlifehighland.com/libraries/fortrose-community-library/,Point(-4.125583 57.58004)
http://www.wikidata.org/entity/Q62668022,Gairloch Library,https://www.highlifehighland.com/libraries/gairloch-community-library/,Point(-5.692744 57.72827)
http://www.wikidata.org/entity/Q62668024,Glen Urquhart Library and Learning Centre,https://www.highlifehighland.com/libraries/glenurquhart-library-and-learning-centre/,Point(-4.484518 57.328213)
http://www.wikidata.org/entity/Q62668026,Golspie Library,https://www.highlifehighland.com/libraries/golspie-library/,Point(-3.972892 57.975824)
http://www.wikidata.org/entity/Q62668027,Grantown on Spey Library,https://www.highlifehighland.com/libraries/grantown-on-spey-library/,Point(-3.605788 57.332556)
http://www.wikidata.org/entity/Q62668028,Helmsdale Library,https://www.highlifehighland.com/libraries/helmsdale-library/,Point(-3.651967 58.116237)
http://www.wikidata.org/entity/Q62668029,Inshes Library,https://www.highlifehighland.com/libraries/inshes-library/,Point(-4.190623 57.464422)
http://www.wikidata.org/entity/Q62668030,Invergordon Library,https://www.highlifehighland.com/libraries/invergordon-library/,Point(-4.171687 57.688308)
http://www.wikidata.org/entity/Q62668032,Inverness Library,https://www.highlifehighland.com/libraries/inverness-library/,Point(-4.224786 57.481001)
http://www.wikidata.org/entity/Q62668033,Kinlochleven Community Library,https://www.highlifehighland.com/libraries/kinlochleven-community-library/,Point(-4.967193 56.714586)
http://www.wikidata.org/entity/Q62668034,Knoydart Library,https://www.highlifehighland.com/libraries/knoydart-library/,Point(-5.692683 57.040202)
http://www.wikidata.org/entity/Q62668035,Kyle of Lochalsh Library,https://www.highlifehighland.com/libraries/kyle-of-lochalsh-library/,Point(-5.716057 57.281445)
http://www.wikidata.org/entity/Q62668037,Lairg Library,https://www.highlifehighland.com/libraries/lairg-library/,Point(-4.397178 58.023561)
http://www.wikidata.org/entity/Q62668038,Muir of Ord Library,https://www.highlifehighland.com/libraries/muir-of-ord-library/,Point(-4.457395 57.51699)
http://www.wikidata.org/entity/Q62668039,Tain Library,https://www.highlifehighland.com/libraries/tain-library/,Point(-4.053436 57.810392)
http://www.wikidata.org/entity/Q62668040,Ullapool Library,https://www.highlifehighland.com/libraries/ullapool-community-library/,Point(-5.15537 57.898332)
http://www.wikidata.org/entity/Q62668041,Wick Library,https://www.highlifehighland.com/libraries/wick-library/,Point(-3.102342 58.436494)
http://www.wikidata.org/entity/Q62668042,Dalkeith Library,https://www.midlothian.gov.uk/directory_record/58/dalkeith_library_and_arts_centre,Point(-3.070476 55.892797)
http://www.wikidata.org/entity/Q62668044,Danderhall Library,https://www.midlothian.gov.uk/directory_record/59/danderhall_library,Point(-3.10531 55.912439)
http://www.wikidata.org/entity/Q62668045,Gorebridge Library,https://www.midlothian.gov.uk/directory_record/60/gorebridge_library,Point(-3.051967 55.84658)
http://www.wikidata.org/entity/Q62668046,Loanhead Library,https://www.midlothian.gov.uk/directory_record/61/loanhead_library,Point(-3.154134 55.879568)
http://www.wikidata.org/entity/Q62668047,Newtongrange Library,https://www.midlothian.gov.uk/directory_record/63/newtongrange_library,Point(-3.065829 55.866748)
http://www.wikidata.org/entity/Q62668049,Roslin Library,https://www.midlothian.gov.uk/directory_record/65/roslin_library,Point(-3.164679 55.85717)
http://www.wikidata.org/entity/Q62668050,Aberlour Library,http://www.moray.gov.uk/moray_standard/page_39958.html,Point(-3.224904 57.470971)
http://www.wikidata.org/entity/Q62668051,Buckie Library,http://www.moray.gov.uk/moray_standard/page_39960.html,Point(-2.967307 57.676152)
http://www.wikidata.org/entity/Q62668052,Burghead Library,http://www.moray.gov.uk/moray_standard/page_39961.html,Point(-3.490777 57.701374)
http://www.wikidata.org/entity/Q62668054,Forres Library,http://www.moray.gov.uk/moray_standard/page_39966.html,Point(-3.61024 57.611493)
http://www.wikidata.org/entity/Q62668056,Tomintoul Library,http://www.moray.gov.uk/moray_standard/page_39973.html,Point(-3.381461 57.252052)
http://www.wikidata.org/entity/Q62668057,Sgoil Lionacleit Library,https://www.cne-siar.gov.uk/leisure-sport-and-culture/libraries-and-archives/leabharlannan-nan-eilean-siar/your-library/lionacleit-community-library/,Point(-7.364183 57.424895)
http://www.wikidata.org/entity/Q62668058,Abronhill Library,https://culturenl.co.uk/libraries/your-library/abronhill-library/,Point(-3.951946 55.960298)
http://www.wikidata.org/entity/Q62668059,Chapelhall Library,https://culturenl.co.uk/libraries/your-library/chapelhall-library/,Point(-3.949547 55.842239)
http://www.wikidata.org/entity/Q62668061,Chryston Library,https://culturenl.co.uk/libraries/your-library/chryston-library/,Point(-4.105481 55.903519)
http://www.wikidata.org/entity/Q62668062,Cleland Library,https://culturenl.co.uk/libraries/your-library/cleland-library/,Point(-3.914038 55.802184)
http://www.wikidata.org/entity/Q62668063,Condorrat Library,https://culturenl.co.uk/libraries/your-library/condorrat-library/,Point(-4.02788 55.935964)
http://www.wikidata.org/entity/Q62668064,Cumbernauld Library,https://culturenl.co.uk/libraries/your-library/cumbernauld-library/,Point(-3.989378 55.946627)
http://www.wikidata.org/entity/Q62668065,Moodiesburn Library,https://culturenl.co.uk/libraries/your-library/moodiesburn-library/,Point(-4.091547 55.911562)
http://www.wikidata.org/entity/Q62668067,New Stevenston Library,https://culturenl.co.uk/libraries/your-library/new-stevenston-library/,Point(-3.981235 55.810711)
http://www.wikidata.org/entity/Q62668068,Newarthill Library,https://culturenl.co.uk/libraries/your-library/newarthill-library/,Point(-3.948408 55.813337)
http://www.wikidata.org/entity/Q62668069,Newmains Library,https://culturenl.co.uk/libraries/your-library/newmains-library/,Point(-3.878819 55.782824)
http://www.wikidata.org/entity/Q62668070,Stepps Library,https://culturenl.co.uk/libraries/your-library/stepps-library/,Point(-4.140571 55.893968)
http://www.wikidata.org/entity/Q62668071,Viewpark Library,https://culturenl.co.uk/libraries/your-library/viewpark-library/,Point(-4.055128 55.829216)
http://www.wikidata.org/entity/Q62668073,Alyth Library,https://www.culturepk.org.uk/your-local-library/alyth-library/,Point(-3.229285 56.621731)
http://www.wikidata.org/entity/Q62668074,Auchterarder Library,https://www.culturepk.org.uk/your-local-library/auchterarder-library/,Point(-3.706734 56.296748)
http://www.wikidata.org/entity/Q62668075,Blairgowrie Library,https://www.culturepk.org.uk/your-local-library/blairgowrie-library/,Point(-3.338223 56.591003)
http://www.wikidata.org/entity/Q62668076,Scone Library,https://www.culturepk.org.uk/your-local-library/scone-library/,Point(-3.405451 56.41936)
http://www.wikidata.org/entity/Q62668077,Bishopton Library,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,Point(-4.510082 55.910302)
http://www.wikidata.org/entity/Q62668079,Bridge of Weir Library,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,Point(-4.573068 55.855942)
http://www.wikidata.org/entity/Q62668081,Central Lending Library,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,Point(-4.415883 55.845154)
http://www.wikidata.org/entity/Q62668082,Erskine Library,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,Point(-4.449532 55.90449)
http://www.wikidata.org/entity/Q62668083,Ferguslie Park Library,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,Point(-4.452681 55.848856)
http://www.wikidata.org/entity/Q62668084,Foxbar Library,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,Point(-4.461871 55.827204)
http://www.wikidata.org/entity/Q62668085,Glenburn Library,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,Point(-4.431948 55.823496)
http://www.wikidata.org/entity/Q62668087,Johnstone Library,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,Point(-4.513012 55.835223)
http://www.wikidata.org/entity/Q62668088,Linwood Library,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,Point(-4.488663 55.84756)
http://www.wikidata.org/entity/Q62668089,Lochwinnoch Library,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,Point(-4.627868 55.795865)
http://www.wikidata.org/entity/Q62668090,Ralston Library,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,Point(-4.375856 55.845117)
http://www.wikidata.org/entity/Q62668091,Renfrew Library,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19,Point(-4.398227 55.870365)
http://www.wikidata.org/entity/Q62668092,Scottish Borders Library and Information Services,https://www.liveborders.org.uk/find_your_nearest_library/library_headquarters.aspx,Point(-2.838743 55.556064)
http://www.wikidata.org/entity/Q62668094,Coldstream Library,https://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/coldstream_library_contact_centre(1).aspx,Point(-2.250979 55.65208)
http://www.wikidata.org/entity/Q62668095,Earlston Library,https://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/earlston_library(1).aspx,Point(-2.719632 55.597125)
http://www.wikidata.org/entity/Q62668097,Innerleithen Library,https://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/innerleithen_library_contact_centre(1).aspx,Point(-3.058806 55.61953)
http://www.wikidata.org/entity/Q62668100,Melrose Library,https://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/melrose_library(1).aspx,Point(-2.719632 55.597125)
http://www.wikidata.org/entity/Q62668101,Peebles Library,https://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/peebles_library(1).aspx,Point(-3.189421 55.651545)
http://www.wikidata.org/entity/Q62668102,Ballantrae Library,https://www.south-ayrshire.gov.uk/libraries/branches/ballantrae-library.aspx,Point(-5.004814 55.101453)
http://www.wikidata.org/entity/Q62668103,Forehill Library,https://www.south-ayrshire.gov.uk/libraries/branches/forehill-library.aspx,Point(-4.617414 55.453481)
http://www.wikidata.org/entity/Q62668104,Girvan Library,https://www.south-ayrshire.gov.uk/libraries/branches/girvan-library.aspx,Point(-4.851578 55.24429)
http://www.wikidata.org/entity/Q62668105,Maybole Library,https://www.south-ayrshire.gov.uk/libraries/branches/maybole-library.aspx,Point(-4.680349 55.354789)
http://www.wikidata.org/entity/Q62668107,Mossblown Library,https://www.south-ayrshire.gov.uk/libraries/branches/mossblown-library.aspx,Point(-4.524963 55.487994)
http://www.wikidata.org/entity/Q62668108,Prestwick Library,https://www.south-ayrshire.gov.uk/libraries/branches/prestwick-library.aspx,Point(-4.611745 55.499172)
http://www.wikidata.org/entity/Q62668109,Symington Library,https://www.south-ayrshire.gov.uk/libraries/branches/symington-library.aspx,Point(-4.561326 55.550704)
http://www.wikidata.org/entity/Q62668110,Tarbolton Library,https://www.south-ayrshire.gov.uk/libraries/branches/tarbolton-library.aspx,Point(-4.485687 55.512639)
http://www.wikidata.org/entity/Q62668112,Blantyre Library,http://www.slleisureandculture.co.uk/info/75/blantyre_library,Point(-4.089523 55.792806)
http://www.wikidata.org/entity/Q62668113,St. Leonard's Library,http://www.slleisureandculture.co.uk/info/93/st_leonards_library,Point(-4.152098 55.763543)
http://www.wikidata.org/entity/Q62668114,Dalmuir Library,https://www.west-dunbarton.gov.uk/libraries/library-branches/dalmuir-library/,Point(-4.428379 55.911361)
http://www.wikidata.org/entity/Q62668115,Duntocher Library,https://www.west-dunbarton.gov.uk/libraries/library-branches/duntocher-library/,Point(-4.415555 55.924885)
http://www.wikidata.org/entity/Q62668116,Faifley Library,https://www.west-dunbarton.gov.uk/libraries/library-branches/faifley-library/,Point(-4.395344 55.930966)
http://www.wikidata.org/entity/Q62668117,Parkhall Library,https://www.west-dunbarton.gov.uk/libraries/library-branches/parkhall-library/,Point(-4.41188 55.915204)
http://www.wikidata.org/entity/Q62668119,Blackburn Library,https://www.westlothian.gov.uk/article/2229/Blackburn-Library,Point(-3.623165 55.874731)
http://www.wikidata.org/entity/Q62668120,Blackridge Library,https://www.westlothian.gov.uk/article/2230/Blackridge-Library,Point(-3.762107 55.884784)
http://www.wikidata.org/entity/Q62668121,Broxburn Library,https://www.westlothian.gov.uk/article/2234/Broxburn-Library,Point(-3.485987 55.931675)
http://www.wikidata.org/entity/Q62668122,East Calder Library,https://www.westlothian.gov.uk/article/2238/East-Calder-Library,Point(-3.461729 55.895963)
http://www.wikidata.org/entity/Q62668124,Fauldhouse Library,https://www.westlothian.gov.uk/article/2240/Fauldhouse-Library,Point(-3.705238 55.829129)
http://www.wikidata.org/entity/Q62668125,Linlithgow Library,https://www.westlothian.gov.uk/article/2246/Linlithgow-Library,Point(-3.600823 55.976707)
http://www.wikidata.org/entity/Q62668126,Almondbank Library,https://www.westlothian.gov.uk/article/2096/Almondbank-Library-Craigshill,Point(-3.497091 55.896735)
http://www.wikidata.org/entity/Q62668127,"Livingston, Deans, Carmondean Connected Library",https://www.westlothian.gov.uk/article/2237/Carmondean-Connected-Deans,Point(-3.545932 55.90183)
http://www.wikidata.org/entity/Q62668128,Lanthorn Library,https://www.westlothian.gov.uk/article/2242/Lanthorn-Library-Dedridge,Point(-3.504555 55.88192)
http://www.wikidata.org/entity/Q62668130,Pumpherston Library,https://www.westlothian.gov.uk/article/2247/Pumpherston-Library,Point(-3.490364 55.909447)
http://www.wikidata.org/entity/Q62668131,West Calder Library,https://www.westlothian.gov.uk/article/2254/West-Calder-Library,Point(-3.568061 55.852153)
http://www.wikidata.org/entity/Q62765304,Badenoch Library,https://www.highlifehighland.com/libraries/badenoch-library/,Point(-4.051537 57.078972)
http://www.wikidata.org/entity/Q62765305,Lochcarron Library,https://www.highlifehighland.com/libraries/lochcarron-library/,Point(-5.501977 57.396281)
http://www.wikidata.org/entity/Q62765308,Lasswade Library,https://www.midlothian.gov.uk/directory_record/57/lasswade_library,Point(-3.114113 55.872462)
http://www.wikidata.org/entity/Q62765309,Newbattle Library,https://www.midlothian.gov.uk/directory_record/20096725/newbattle_library,Point(-3.048514 55.874393)
http://www.wikidata.org/entity/Q62765311,Castlebay Community Library,https://www.cne-siar.gov.uk/leisure-sport-and-culture/libraries-and-archives/leabharlannan-nan-eilean-siar/your-library/castlebay-community-library/,Point(-7.488283 56.955039)
http://www.wikidata.org/entity/Q62765312,Tarbert Community Library,https://www.cne-siar.gov.uk/leisure-sport-and-culture/libraries-and-archives/leabharlannan-nan-eilean-siar/your-library/tarbert-community-library/,Point(-6.811805 57.900052)
http://www.wikidata.org/entity/Q62765313,Shotts Library,https://culturenl.co.uk/libraries/your-library/shotts-library/,Point(-3.790054 55.819142)
http://www.wikidata.org/entity/Q62765317,Strathearn Community Library,https://www.culturepk.org.uk/your-local-library/strathearn-community-library/,Point(-3.834732 56.366081)
http://www.wikidata.org/entity/Q62765319,North Inch Community Library,https://www.culturepk.org.uk/your-local-library/north-inch-community-library/,Point(-3.43917 56.41004)
http://www.wikidata.org/entity/Q62765320,Avondale Community Wing,http://www.slleisureandculture.co.uk/info/516/avondale_community_wing,Point(-4.063579 55.68171)
http://www.wikidata.org/entity/Q62765321,Biggar Library,http://www.slleisureandculture.co.uk/info/74/biggar_library,Point(-3.522071 55.622041)
http://www.wikidata.org/entity/Q62765324,Blackwood and Kirkmuirhill Library,http://www.slleisureandculture.co.uk/info/453/blackwood_and_kirkmuirhill,Point(-3.921687 55.670621)
http://www.wikidata.org/entity/Q62765325,Burnbank Library,http://www.slleisureandculture.co.uk/info/77/burnbank_library,Point(-4.067849 55.781706)
http://www.wikidata.org/entity/Q62765329,Cambuslang Library,http://www.slleisureandculture.co.uk/info/79/cambuslang_library,Point(-4.167476 55.81921)
http://www.wikidata.org/entity/Q62765330,Carluke Library,http://www.slleisureandculture.co.uk/info/80/carluke_library,Point(-3.834777 55.732939)
http://www.wikidata.org/entity/Q62765331,Cathkin Library,http://www.slleisureandculture.co.uk/info/81/cathkin_library,Point(-4.18824 55.810212)
http://www.wikidata.org/entity/Q62765334,East Kilbride Library,http://www.slleisureandculture.co.uk/info/82/east_kilbride_library,Point(-4.175648 55.75945)
http://www.wikidata.org/entity/Q62765335,Fairhill Library,http://www.slleisureandculture.co.uk/info/83/fairhill_library,Point(-4.058247 55.763778)
http://www.wikidata.org/entity/Q62765338,Greenhills Library,http://www.slleisureandculture.co.uk/info/85/greenhills_library,Point(-4.207095 55.745173)
http://www.wikidata.org/entity/Q62765341,Halfway Library,http://www.slleisureandculture.co.uk/info/86/halfway_library,Point(-4.146684 55.81224)
