MSOA11CD,MSOA11NM,geometry
E02000353,Hackney 009,POINT (533498.330749937 186459.74638767945)
E02000354,Hackney 010,POINT (534512.2196198332 185979.97512974107)
E02000355,Hackney 011,POINT (535241.6249426553 186015.4008621566)
E02000356,Hackney 012,POINT (532850.5248452615 185838.7668499172)
E02000357,Hackney 013,POINT (536526.5805423928 185998.38194099267)
E02000358,Hackney 014,POINT (533517.7811139118 185684.8254601955)
E02000359,Hackney 015,POINT (535924.154537538 185526.4000188365)
E02000360,Hackney 016,POINT (534311.346913756 185328.69298048934)
E02000361,Hackney 017,POINT (534970.9634230245 184979.68978082252)
E02000362,Hackney 018,POINT (536849.5008669675 184994.44083044367)
E02000363,Hackney 019,POINT (535531.7057397573 184909.82503052233)
E02000364,Hackney 020,POINT (534145.4457692881 184616.07084280375)
E02000365,Hackney 021,POINT (533486.1358071183 184478.59387114737)
E02000366,Hackney 022,POINT (535740.5353703077 184230.24033914527)
E02000367,Hackney 023,POINT (534916.3012582598 183984.7704446252)
E02000368,Hackney 024,POINT (534123.5485321803 183643.6339957719)
E02000369,Hackney 025,POINT (533303.5334785926 183647.6373699965)
E02000370,Hackney 026,POINT (532576.7765027789 183227.22149548854)
E02000371,Hackney 027,POINT (533180.8823731637 182696.59037209413)
E02000372,Hammersmith and Fulham 001,POINT (522362.4459388111 181818.58656593048)
E02000373,Hammersmith and Fulham 002,POINT (522580.95448222343 180719.77141121248)
E02000374,Hammersmith and Fulham 003,POINT (522111.088603097 180474.17836816979)
E02000375,Hammersmith and Fulham 004,POINT (523324.6275305819 180258.09721285454)
E02000376,Hammersmith and Fulham 005,POINT (522918.81410797575 179823.92161307132)
E02000377,Hammersmith and Fulham 006,POINT (522253.5369526026 179767.21964988636)
E02000378,Hammersmith and Fulham 007,POINT (523603.2999840306 179581.1166979274)
E02000379,Hammersmith and Fulham 008,POINT (521849.4381501296 179373.84881665485)
E02000380,Hammersmith and Fulham 009,POINT (522925.09173393523 179203.1828779836)
E02000381,Hammersmith and Fulham 010,POINT (523752.35152285703 179115.81010821625)
E02000382,Hammersmith and Fulham 011,POINT (522333.23771767033 178710.13048740855)
E02000383,Hammersmith and Fulham 012,POINT (524294.2295759806 178685.56066066978)
E02000384,Hammersmith and Fulham 013,POINT (523209.74411698635 178531.33924469794)
E02000385,Hammersmith and Fulham 014,POINT (524232.9356834477 178108.51668377747)
E02000386,Hammersmith and Fulham 015,POINT (524815.905062292 178017.1296339269)
E02000387,Hammersmith and Fulham 016,POINT (523987.27374456066 177749.78119129315)
E02000388,Hammersmith and Fulham 017,POINT (525193.4064609589 177561.05059148063)
E02000389,Hammersmith and Fulham 018,POINT (523603.1496965811 177312.60033763928)
E02000390,Hammersmith and Fulham 019,POINT (524423.6624811755 177267.39607470852)
E02000391,Hammersmith and Fulham 020,POINT (525588.0959164245 176898.89984078496)
E02000392,Hammersmith and Fulham 021,POINT (524892.5910770297 176795.29820709044)
E02000393,Hammersmith and Fulham 022,POINT (524204.844268207 176839.4182045735)
E02000394,Hammersmith and Fulham 023,POINT (526114.4769056254 176454.7115068274)
E02000395,Hammersmith and Fulham 024,POINT (524484.7403277014 176104.69087825995)
E02000396,Hammersmith and Fulham 025,POINT (525519.4031841957 176001.08311115784)
E02000397,Haringey 001,POINT (530499.7709096125 191315.0866858429)
E02000398,Haringey 002,POINT (534834.3189789448 191281.99180139875)
E02000400,Haringey 004,POINT (529598.9587511587 191244.42043869593)
E02000401,Haringey 005,POINT (532330.9981579648 191204.76951174377)
E02000402,Haringey 006,POINT (533071.3376484374 191122.67422168318)
E02000403,Haringey 007,POINT (531121.4701662448 191059.02858344145)
E02000404,Haringey 008,POINT (531704.4423115936 190877.68867605354)
E02000405,Haringey 009,POINT (529571.7031344099 190367.26132751838)
E02000406,Haringey 010,POINT (531686.9993022085 190310.38134943647)
E02000407,Haringey 011,POINT (533545.9991246241 190231.18041818336)
E02000408,Haringey 012,POINT (534058.1352447325 190250.1865495254)
E02000409,Haringey 013,POINT (532612.6711773179 190100.61853443566)
E02000410,Haringey 014,POINT (528618.5134945682 190089.62216669612)
E02000411,Haringey 015,POINT (534671.2685244384 190038.34169169303)
E02000412,Haringey 016,POINT (531006.3303130787 189967.16323933433)
E02000413,Haringey 017,POINT (527904.4322945704 189960.63505235882)
E02000414,Haringey 018,POINT (533162.518365797 189764.85691079713)
E02000415,Haringey 019,POINT (532099.1455347314 189671.88764613948)
E02000416,Haringey 020,POINT (530433.5667953733 189350.76711545433)
E02000417,Haringey 021,POINT (528886.6047042885 189166.1667433784)
E02000418,Haringey 022,POINT (529682.2359075855 189151.44108611418)
E02000419,Haringey 023,POINT (531407.5481024695 189134.77894150457)
E02000420,Haringey 024,POINT (533192.1439034865 189162.66627192282)
E02000421,Haringey 025,POINT (533954.0916126601 189116.25025115168)
E02000422,Haringey 026,POINT (532714.1525764214 188827.26968025893)
E02000423,Haringey 027,POINT (532113.8607563936 188693.88930006628)
E02000424,Haringey 028,POINT (530779.8546129054 188605.15750628363)
E02000425,Haringey 029,POINT (533970.652785447 188449.17569922894)
E02000426,Haringey 030,POINT (527845.0679855256 188262.85153274448)
E02000427,Haringey 031,POINT (531656.5712336978 187882.84745002622)
E02000428,Haringey 032,POINT (532825.9866471806 188208.07640894246)
E02000429,Haringey 033,POINT (529472.4264094892 188228.17341802674)
E02000430,Haringey 034,POINT (530449.0638691855 188124.90626197608)
