MSOA11CD,Nearest_Library_ID,Distance_to_Library
E02000694,251,901.6528165
E02000695,250,1119.60426
E02000696,251,595.9949778
E02000697,252,981.6980005
E02000698,248,995.8552865
E02000699,248,876.9330064
E02000700,251,1028.405688
E02000701,250,192.9981266
E02000702,250,942.3757735
E02000703,247,819.6738599
E02000704,248,358.9026635
E02000705,246,938.4184032
E02000706,250,768.4838308
E02000707,246,323.0977159
E02000708,245,336.9858317
E02000709,247,1440.477673
E02000710,307,1274.621184
E02000711,247,399.2360278
E02000712,247,1186.480498
E02000713,245,1348.784179
E02000714,261,647.5231675
E02000715,350,350.7864106
E02000716,262,563.6583304
E02000717,262,87.97050535
E02000718,275,624.3035641
E02000719,260,940.9699302
E02000720,261,465.1116583
E02000721,261,260.5226382
E02000722,260,524.9151836
E02000723,262,851.9676013
E02000724,259,892.3255674
E02000725,260,220.9220343
E02000726,260,1024.046962
E02000727,259,406.0258951
E02000728,258,944.5249515
E02000729,260,1009.200053
E02000730,259,609.3588319
E02000731,258,506.9676815
E02000732,259,423.0234889
E02000733,260,903.8262021
E02000734,257,818.881025
E02000735,257,345.5257502
E02000736,258,756.1235064
E02000737,258,371.2225815
E02000738,259,945.0264281
E02000739,257,291.8990846
E02000740,256,1033.998076
E02000741,257,780.3484563
E02000742,255,959.2602668
E02000743,256,491.339702
E02000744,254,702.5739028
E02000745,254,750.4421365
E02000746,255,1312.871069
E02000747,256,370.8183042
E02000748,255,490.1702211
E02000749,254,400.2299299
E02000750,253,1258.286177
E02000751,273,1024.217701
E02000752,274,1665.628269
E02000753,274,487.8864533
E02000754,273,651.5676876
E02000755,273,1254.258504
E02000756,271,877.5766125
E02000757,272,149.4620295
E02000758,270,883.3627965
E02000759,272,1016.10697
E02000760,271,775.606771
E02000762,269,720.2423021
E02000763,271,1755.651079
E02000764,267,953.5728262
E02000765,269,323.1626698
E02000767,269,747.3236186
E02000768,267,542.2389331
E02000769,268,161.6375847
E02000770,266,1043.294406
E02000772,268,772.1087852
E02000773,269,1136.836012
E02000774,266,443.5192758
E02000776,263,862.2317691
E02000777,265,186.6428662
E02000779,263,990.6707481
E02000780,263,307.5192508
E02000781,264,1071.868471
E02000782,275,457.9921397
E02000783,275,495.6503193
E02000784,288,94.78789328
E02000785,287,1100.058918
E02000786,286,1202.167143
E02000787,287,655.9425859
E02000788,286,98.76391336
E02000789,285,1127.454004
E02000790,192,989.0483801
E02000791,284,243.7732583
E02000792,284,903.7343747
E02000793,283,212.1406624
E02000794,282,1049.136501
E02000795,222,2143.420289
E02000796,281,819.2358721
E02000797,282,432.8580168
E02000798,281,541.2112379
E02000799,282,1267.733486
E02000800,280,566.9587428
E02000801,279,575.1202198
E02000802,278,132.0803015
E02000803,278,1444.432634
E02000804,279,1011.296092
E02000805,277,460.2368359
E02000806,276,1355.335136
E02000807,298,764.0079223
E02000808,299,570.6764491
E02000809,299,811.386034
E02000810,297,729.5463517
E02000812,299,502.6251682
E02000813,298,323.1347187
E02000814,298,622.5549703
E02000815,352,628.3245715
E02000816,297,290.8499589
E02000817,297,467.0222482
E02000818,296,839.38633
E02000819,296,400.4641513
E02000820,229,414.3776348
E02000821,296,486.643154
E02000822,296,761.715395
E02000823,295,394.5819324
E02000824,293,916.0778057
E02000825,293,856.6278875
E02000826,294,356.80991
E02000827,294,407.8416869
E02000828,293,89.23613814
E02000829,293,702.741809
E02000830,294,857.8588899
E02000831,293,703.2285998
E02000832,292,41.82194867
E02000833,291,607.145705
E02000834,291,727.4357118
E02000835,292,1106.859558
E02000836,291,700.2691069
E02000837,290,1035.663568
E02000838,290,400.3724128
E02000839,289,510.3188585
E02000840,307,329.7902569
E02000841,307,940.7636144
E02000842,306,622.1972368
E02000843,307,1183.537621
E02000844,307,923.1451379
E02000845,305,261.0381323
E02000846,306,584.2758064
E02000847,305,689.383073
E02000848,302,1263.458361
E02000849,304,425.5444564
E02000850,304,1637.892083
E02000851,303,607.3781182
E02000852,303,1148.936287
E02000853,302,1025.017417
E02000854,304,871.1656049
E02000855,302,248.8136256
E02000856,301,249.5170272
E02000857,303,537.332512
E02000858,300,419.1487412
E02000859,301,658.948727
E02000860,303,917.4853464
E02000861,303,1669.242905
E02000863,301,2099.972127
E02000864,315,735.5480544
E02000865,314,679.2745394
E02000866,315,738.8370079
E02000867,315,361.5367173
E02000868,314,831.3189677
E02000869,132,513.3066157
E02000870,314,307.9307117
E02000871,315,1267.273396
E02000872,132,862.2097999
E02000873,313,218.9139786
E02000874,314,144.0848754
E02000875,315,1160.057187
E02000876,312,409.3952398
E02000877,313,812.5265715
E02000878,356,435.0477125
E02000879,312,614.693506
E02000880,363,212.941479
E02000881,310,671.1374232
E02000882,313,732.9497318
E02000883,310,276.1501054
E02000884,363,603.5134787
E02000885,311,210.3947903
E02000886,310,1299.883032
E02000887,310,570.049058
E02000888,311,631.2108026
E02000889,311,834.8004904
E02000890,311,1053.628525
E02000891,309,414.1646843
E02000893,308,463.1447129
E02000894,244,661.9048223
E02000895,325,911.6247426
E02000896,326,437.4936653
E02000897,323,1283.638681
E02000898,324,769.2483909
E02000899,324,280.9224306
E02000900,324,819.9180342
E02000901,323,217.2078296
E02000902,323,1067.182679
E02000903,322,794.7281121
E02000904,321,759.8261644
E02000905,322,547.0426061
E02000906,322,531.6792001
E02000907,321,319.792619
E02000908,322,1452.692595
E02000909,321,692.689977
E02000910,320,216.3140843
E02000911,320,728.9725955
E02000912,319,1624.310738
E02000913,318,1260.025469
E02000914,319,731.0886156
E02000915,318,862.7014401
E02000916,319,965.797189
E02000917,317,942.5512151
E02000918,318,186.7297764
E02000919,317,465.5663518
E02000920,317,691.0615688
E02000921,353,406.5724478
E02000922,316,346.9769638
E02000923,337,745.4993275
E02000924,337,824.6264923
E02000925,337,677.2687661
E02000926,336,477.8868265
E02000927,337,670.2203392
E02000928,334,1015.534995
E02000929,336,115.5108696
E02000930,335,357.009034
E02000931,335,545.643366
E02000932,334,796.5764729
E02000933,334,1120.31943
E02000934,336,691.4342059
E02000935,331,1185.615999
E02000936,334,614.9566779
E02000937,332,459.8269093
E02000938,331,669.6268939
E02000939,332,443.8476846
E02000940,333,380.3781021
E02000941,333,685.7886555
E02000942,329,818.7695124
E02000943,330,411.7448561
E02000944,329,847.4136976
E02000945,331,805.7862698
E02000946,328,371.414241
E02000947,329,652.1706306
E02000948,330,905.8471029
E02000949,328,1231.062767
E02000950,329,567.9951905
E02000951,330,937.929665
E02000952,330,984.691427
E02000953,328,689.305556
E02000954,327,725.4844657
E02000955,327,564.2688776
E02000956,327,931.3361498
E02000957,327,175.2597642
E02000958,327,1061.217385
E02000959,223,1344.675579
E02000960,348,455.4837
E02000961,60,445.6251794
E02000962,348,448.5957289
E02000963,349,284.2933925
E02000964,215,573.9429797
E02000965,347,379.6346264
E02000966,347,422.3431217
E02000967,346,916.514549
E02000968,346,204.328482
E02000969,342,410.2968408
E02000970,344,393.0664215
E02000971,346,661.8613559
E02000972,364,396.7483806
E02000973,342,324.1788883
E02000974,346,747.474522
E02000975,343,545.4259104
E02000976,343,375.3255277
E02000977,366,396.0657151
E02000978,365,949.5558955
E02000979,339,1093.647047
E02000980,338,588.6227624
E02000981,339,385.1722963
E02000982,339,226.3477692
E02000983,338,54.43601921
E02006782,55,235.8818607
E02006783,233,146.9161822
E02006784,233,1196.848553
E02006785,27,1052.546243
E02006786,127,747.9507916
E02006787,53,1046.830396
E02006788,81,1286.41454
E02006789,44,1338.245166
E02006791,89,828.0196277
E02006792,199,965.0215547
E02006793,104,496.2607369
E02006794,154,200.1017411
E02006795,156,1776.870866
E02006796,181,508.0756065
E02006798,242,532.1363657
E02006799,3,654.1046977
E02006800,264,305.356317
E02006801,230,483.0879379
E02006802,352,52.1717638
E02006836,302,1885.941255
E02006853,308,822.6800945
E02006854,309,572.6128924
E02006882,158,326.7077515
E02006918,137,506.4975464
E02006921,137,461.1094894
E02006924,269,1123.828071
E02006925,270,531.9118083
E02006927,122,1210.376482
E02006928,243,495.9434006
E02006929,126,932.0900422
E02006930,126,173.6130653
E02006931,124,328.8151752
