,MSOA11CD,count_sin,sum,count_sdep,sdep/sum,sdep/sin,library_name_sum,filtered_library_name_sum,keyword_frequency_sum,Total annual income,POPDEN
51,E02000054,157.0,2970.0,17.0,0.572390572,10.82802548,5.0,0.0,0.0,54400.0,48.0
52,E02000055,293.0,4506.0,45.0,0.998668442,15.35836177,4.0,0.0,0.0,51700.0,77.3
53,E02000056,142.0,3443.0,20.0,0.58088876,14.08450704,9.0,3.0,29.0,76600.0,28.5
54,E02000057,154.0,2709.0,9.0,0.332225914,5.844155844,4.0,1.0,11.0,56000.0,68.4
55,E02000058,192.0,4097.0,34.0,0.829875519,17.70833333,6.0,2.0,12.0,60100.0,56.4
56,E02000059,248.0,4437.0,45.0,1.014198783,18.14516129,5.0,0.0,0.0,51600.0,47.7
57,E02000060,146.0,3693.0,16.0,0.433252099,10.95890411,6.0,2.0,12.0,49200.0,88.6
58,E02000061,132.0,3574.0,18.0,0.503637381,13.63636364,6.0,3.0,29.0,63400.0,50.5
59,E02000062,258.0,2615.0,40.0,1.529636711,15.50387597,6.0,1.0,1.0,48500.0,34.5
60,E02000063,243.0,2833.0,37.0,1.306036004,15.22633745,6.0,1.0,1.0,52000.0,67.2
61,E02000064,315.0,2759.0,29.0,1.051105473,9.206349206,6.0,2.0,18.0,52900.0,78.7
62,E02000065,464.0,2775.0,66.0,2.378378378,14.22413793,4.0,0.0,0.0,49000.0,23.9
63,E02000066,453.0,3548.0,79.0,2.226606539,17.4392936,6.0,1.0,1.0,42400.0,61.3
64,E02000067,496.0,3983.0,54.0,1.355761988,10.88709677,5.0,0.0,0.0,48900.0,37.8
65,E02000068,534.0,3193.0,84.0,2.630754776,15.73033708,4.0,1.0,1.0,46300.0,32.5
66,E02000069,252.0,2817.0,34.0,1.206957756,13.49206349,5.0,1.0,1.0,49400.0,42.7
67,E02000070,190.0,3143.0,22.0,0.699968183,11.57894737,8.0,1.0,1.0,53800.0,42.4
68,E02000071,275.0,2837.0,56.0,1.973916109,20.36363636,6.0,1.0,1.0,49500.0,61.9
69,E02000072,699.0,4691.0,109.0,2.32359838,15.59370529,4.0,1.0,1.0,44700.0,26.8
70,E02000073,168.0,3959.0,21.0,0.530436979,12.5,9.0,1.0,1.0,59100.0,67.0
71,E02000074,428.0,3504.0,73.0,2.083333333,17.05607477,5.0,1.0,1.0,44900.0,67.8
72,E02000075,139.0,3147.0,15.0,0.476644423,10.79136691,5.0,0.0,0.0,57800.0,51.8
73,E02000077,193.0,2936.0,34.0,1.158038147,17.61658031,7.0,1.0,1.0,56100.0,70.0
74,E02000078,164.0,3023.0,10.0,0.330797221,6.097560976,7.0,1.0,1.0,57500.0,51.5
75,E02000079,251.0,3588.0,39.0,1.086956522,15.53784861,6.0,0.0,0.0,57100.0,47.7
76,E02000080,250.0,3813.0,25.0,0.655651718,10,6.0,0.0,0.0,56600.0,55.7
77,E02000081,235.0,3280.0,32.0,0.975609756,13.61702128,6.0,1.0,1.0,52900.0,34.1
78,E02000082,185.0,3443.0,13.0,0.377577694,7.027027027,7.0,1.0,1.0,62800.0,59.3
79,E02000083,389.0,4444.0,65.0,1.462646265,16.70951157,6.0,1.0,1.0,51000.0,26.1
80,E02000084,201.0,4200.0,18.0,0.428571429,8.955223881,5.0,0.0,0.0,60200.0,41.0
81,E02000085,190.0,3074.0,25.0,0.813272609,13.15789474,4.0,0.0,0.0,55100.0,48.6
82,E02000086,124.0,2786.0,9.0,0.32304379,7.258064516,5.0,0.0,0.0,59200.0,49.2
83,E02000087,136.0,3319.0,25.0,0.753238927,18.38235294,4.0,0.0,0.0,61900.0,20.4
84,E02000088,140.0,2979.0,14.0,0.469956361,10,5.0,0.0,0.0,62600.0,38.7
85,E02000089,137.0,2903.0,11.0,0.37891836,8.02919708,6.0,0.0,0.0,66000.0,56.9
86,E02000090,259.0,4196.0,38.0,0.905624404,14.67181467,5.0,0.0,0.0,53500.0,48.2
87,E02000091,250.0,4445.0,30.0,0.674915636,12,6.0,0.0,0.0,52200.0,35.4
88,E02000092,316.0,2715.0,59.0,2.173112339,18.67088608,3.0,0.0,0.0,46500.0,10.7
89,E02000093,204.0,3742.0,35.0,0.935328701,17.15686275,5.0,0.0,0.0,57700.0,79.0
90,E02000094,279.0,3467.0,35.0,1.009518316,12.54480287,4.0,0.0,0.0,57800.0,75.2
91,E02000095,142.0,3183.0,26.0,0.81683946,18.30985915,4.0,1.0,3.0,58400.0,64.1
92,E02000096,78.0,2497.0,12.0,0.480576692,15.38461538,5.0,1.0,3.0,61500.0,46.5
93,E02000097,158.0,3039.0,27.0,0.888450148,17.08860759,4.0,1.0,3.0,53900.0,47.9
94,E02000098,204.0,2872.0,36.0,1.253481894,17.64705882,4.0,1.0,3.0,54100.0,43.2
95,E02000099,235.0,2917.0,31.0,1.062735687,13.19148936,6.0,2.0,9.0,59000.0,67.6
96,E02000100,83.0,2570.0,10.0,0.389105058,12.04819277,9.0,3.0,10.0,66400.0,40.4
97,E02000101,348.0,3386.0,57.0,1.683402245,16.37931034,4.0,1.0,3.0,49200.0,66.5
98,E02000102,261.0,2686.0,35.0,1.303052867,13.40996169,3.0,0.0,0.0,46200.0,57.3
99,E02000103,390.0,3465.0,77.0,2.222222222,19.74358974,5.0,1.0,1.0,49600.0,49.2
100,E02000104,132.0,2414.0,16.0,0.662800331,12.12121212,4.0,2.0,9.0,53000.0,61.1
