MSOA11CD,sum,count_sdep,calculation,sdep_sum the dep rate,library_name_sum,filtered_library_name_sum,keyword_frequency_sum
E02000100,2570,10,0.389105058,0.389105058,9,3,10
E02000101,3386,57,1.683402245,1.683402245,4,1,3
E02000102,2686,35,1.303052867,1.303052867,3,0,0
E02000103,3465,77,2.222222222,2.222222222,5,1,1
E02000104,2414,16,0.662800331,0.662800331,4,2,9
E02000105,3109,26,0.836281763,0.836281763,7,3,10
E02000106,3591,60,1.670843776,1.670843776,4,0,0
E02000107,4361,56,1.284109149,1.284109149,5,1,1
E02000108,2272,13,0.572183099,0.572183099,5,2,7
E02000109,,,#DIV/0!,#DIV/0!,5,2,9
E02000110,3093,26,0.840607824,0.840607824,5,1,1
E02000111,3189,27,0.846660395,0.846660395,5,2,9
E02000112,3499,41,1.171763361,1.171763361,5,2,9
E02000113,3291,84,2.552415679,2.552415679,5,0,0
E02000114,3706,43,1.160280626,1.160280626,6,1,1
E02000115,3875,32,0.825806452,0.825806452,7,2,5
E02000116,3239,68,2.099413399,2.099413399,5,1,4
E02000117,4759,98,2.059256146,2.059256146,3,0,0
E02000118,3155,30,0.950871632,0.950871632,6,2,9
E02000119,3950,83,2.101265823,2.101265823,5,0,0
E02000120,4242,23,0.542197077,0.542197077,12,4,10
E02000121,3626,43,1.185879757,1.185879757,5,1,6
E02000122,3159,29,0.918012029,0.918012029,8,2,6
E02000123,5540,108,1.949458484,1.949458484,3,1,4
E02000124,4167,38,0.911927046,0.911927046,10,3,8
E02000125,3942,31,0.786402841,0.786402841,6,3,8
E02000126,3404,60,1.762632197,1.762632197,14,6,15
E02000127,3786,83,2.192287375,2.192287375,10,1,1
E02000128,3061,26,0.849395622,0.849395622,5,0,0
E02000130,3666,26,0.709219858,0.709219858,6,2,7
E02000131,5069,107,2.110869994,2.110869994,6,2,7
E02000132,4943,30,0.606918875,0.606918875,5,1,2
E02000133,4330,25,0.577367206,0.577367206,11,1,2
E02000134,5300,43,0.811320755,0.811320755,5,0,0
E02000135,4442,104,2.341287708,2.341287708,7,2,7
E02000136,2301,30,1.303780965,1.303780965,6,1,2
E02000137,3674,9,0.244964616,0.244964616,5,0,0
E02000138,4140,9,0.217391304,0.217391304,6,1,2
E02000139,3307,26,0.786211067,0.786211067,5,2,3
E02000140,3340,65,1.946107784,1.946107784,2,0,0
E02000141,3092,34,1.099611902,1.099611902,6,2,3
E02000142,3449,12,0.347926935,0.347926935,5,0,0
E02000144,4311,30,0.695894224,0.695894224,5,0,0
E02000145,3514,74,2.105862265,2.105862265,3,0,0
E02000146,4042,20,0.494804552,0.494804552,5,1,2
E02000147,3165,13,0.410742496,0.410742496,5,1,1
E02000148,2699,16,0.592812153,0.592812153,4,1,2
E02000149,3280,40,1.219512195,1.219512195,3,1,2
E02000150,3115,20,0.642054575,0.642054575,6,4,5
E02000151,2969,9,0.303132368,0.303132368,4,1,2
E02000152,3093,53,1.713546718,1.713546718,4,1,2
E02000153,2895,17,0.587219344,0.587219344,5,1,1
E02000154,3573,28,0.783655192,0.783655192,3,1,2
E02000155,3040,18,0.592105263,0.592105263,2,0,0
E02000156,4859,16,0.329285861,0.329285861,4,2,2
E02000157,3279,15,0.457456542,0.457456542,3,1,2
E02000158,3033,39,1.285855589,1.285855589,1,0,0
E02000159,2821,21,0.744416873,0.744416873,3,1,2
E02000160,3045,16,0.52545156,0.52545156,4,1,1
E02000161,3345,12,0.358744395,0.358744395,1,0,0
E02000162,2964,36,1.214574899,1.214574899,1,0,0
E02000163,3069,17,0.55392636,0.55392636,1,0,0
E02000165,2742,15,0.547045952,0.547045952,2,0,0
E02000166,3396,56,1.648998822,1.648998822,16,7,38
E02000167,3370,4,0.118694362,0.118694362,11,5,33
E02000168,3494,37,1.058958214,1.058958214,14,5,28
E02000169,3032,22,0.725593668,0.725593668,10,5,25
E02000170,3466,17,0.490478938,0.490478938,9,2,18
E02000171,3329,29,0.871132472,0.871132472,12,4,24
E02000172,4033,75,1.859657823,1.859657823,16,5,28
E02000173,3503,20,0.570939195,0.570939195,11,5,25
E02000174,3554,65,1.828925155,1.828925155,17,6,35
E02000175,4308,42,0.974930362,0.974930362,11,5,25
E02000176,3002,7,0.233177881,0.233177881,9,4,24
E02000177,3652,52,1.423877327,1.423877327,13,5,28
E02000178,4165,43,1.032412965,1.032412965,11,4,10
E02000179,2551,20,0.784006272,0.784006272,10,4,24
E02000180,3519,30,0.852514919,0.852514919,17,6,20
E02000181,3754,22,0.586041556,0.586041556,10,5,25
E02000182,3082,28,0.908500973,0.908500973,15,6,27
E02000183,3618,38,1.050304035,1.050304035,19,8,44
E02000184,3631,70,1.927843569,1.927843569,19,8,46
E02000185,4068,67,1.647000983,1.647000983,15,7,32
E02000186,2942,27,0.917743032,0.917743032,25,11,43
E02000187,3817,72,1.88629814,1.88629814,21,8,37
E02000188,2720,46,1.691176471,1.691176471,22,11,43
E02000189,,,#DIV/0!,#DIV/0!,17,9,91
E02000190,,,#DIV/0!,#DIV/0!,18,10,103
E02000191,2101,8,0.380771061,0.380771061,18,9,89
E02000192,3089,35,1.133052768,1.133052768,20,11,105
E02000193,3101,20,0.644953241,0.644953241,21,11,104
E02000194,4201,51,1.213996667,1.213996667,7,3,9
E02000195,3492,41,1.174112257,1.174112257,8,2,7
E02000196,2817,39,1.384451544,1.384451544,6,2,3
E02000197,3320,43,1.295180723,1.295180723,5,1,1
E02000198,3502,70,1.998857796,1.998857796,6,1,1
E02000199,3206,39,1.21646912,1.21646912,5,1,1
E02000200,4001,52,1.299675081,1.299675081,5,2,3
E02000201,3819,64,1.675831369,1.675831369,5,2,3
E02000202,3035,37,1.219110379,1.219110379,5,1,1
E02000203,3119,52,1.667201026,1.667201026,5,1,1
E02000204,3227,34,1.053610164,1.053610164,4,1,1
E02000206,4464,72,1.612903226,1.612903226,6,3,4
E02000207,3562,74,2.077484559,2.077484559,4,2,2
E02000208,4096,91,2.221679688,2.221679688,6,2,3
E02000209,3069,42,1.368523949,1.368523949,4,1,1
E02000210,3445,39,1.132075472,1.132075472,5,3,4
E02000211,3293,27,0.819921045,0.819921045,5,3,3
E02000212,3261,71,2.177246243,2.177246243,4,2,3
E02000213,5390,105,1.948051948,1.948051948,4,2,3
E02000214,2325,13,0.559139785,0.559139785,4,3,4
E02000215,5257,70,1.331557923,1.331557923,5,3,4
E02000216,2945,16,0.543293718,0.543293718,3,3,4
E02000217,5021,65,1.294562836,1.294562836,4,2,3
E02000218,2349,74,3.150276713,3.150276713,3,3,3
