MSOA11CD,library_name_sum,filtered_library_name_sum,keyword_frequency_sum
E02000953,7,1.0,3.0
E02000954,6,1.0,3.0
E02000955,5,1.0,3.0
E02000956,5,1.0,3.0
E02000957,6,1.0,3.0
E02000958,5,1.0,3.0
E02000959,5,1.0,3.0
E02000960,21,9.0,51.0
E02000961,16,8.0,34.0
E02000962,16,8.0,29.0
E02000963,11,4.0,10.0
E02000964,13,6.0,15.0
E02000965,13,6.0,15.0
E02000966,14,7.0,22.0
E02000967,20,10.0,41.0
E02000968,15,8.0,28.0
E02000969,12,6.0,15.0
E02000970,17,12.0,46.0
E02000971,12,5.0,22.0
E02000972,18,11.0,96.0
E02000973,15,8.0,20.0
E02000974,16,10.0,31.0
E02000975,17,11.0,35.0
E02000976,13,9.0,21.0
E02000977,26,18.0,125.0
E02000978,23,15.0,46.0
E02000979,20,13.0,95.0
E02000980,11,6.0,18.0
E02000981,12,6.0,17.0
E02000982,11,7.0,20.0
E02000983,9,5.0,15.0
E02006782,7,0.0,0.0
E02006783,7,1.0,1.0
E02006784,9,1.0,1.0
E02006785,7,1.0,1.0
E02006786,8,2.0,3.0
E02006787,5,2.0,3.0
E02006788,5,3.0,4.0
E02006789,2,0.0,0.0
E02006791,3,1.0,1.0
E02006792,8,1.0,1.0
E02006793,8,0.0,0.0
E02006794,6,1.0,2.0
E02006795,7,0.0,0.0
E02006796,8,1.0,1.0
E02006798,12,4.0,28.0
E02006799,5,3.0,10.0
E02006800,7,4.0,12.0
E02006801,18,12.0,99.0
E02006802,17,11.0,105.0
E02006836,2,0.0,0.0
E02006853,7,4.0,15.0
E02006854,7,3.0,13.0
E02006882,6,1.0,3.0
E02006918,7,6.0,17.0
E02006921,6,5.0,15.0
E02006924,9,8.0,22.0
E02006925,7,6.0,24.0
E02006927,10,2.0,9.0
E02006928,8,1.0,2.0
E02006929,10,4.0,7.0
E02006930,9,2.0,4.0
E02006931,12,3.0,12.0
