MSOA11CD,library_name_sum,filtered_library_name_sum,keyword_frequency_sum
E02000217,4,2.0,3.0
E02000218,3,3.0,3.0
E02000219,5,4.0,4.0
E02000220,3,2.0,3.0
E02000221,6,4.0,6.0
E02000222,3,3.0,4.0
E02000223,2,1.0,1.0
E02000224,4,3.0,5.0
E02000225,1,0.0,0.0
E02000226,3,3.0,4.0
E02000227,5,4.0,4.0
E02000228,3,3.0,4.0
E02000229,1,0.0,0.0
E02000230,4,3.0,4.0
E02000231,5,3.0,4.0
E02000232,3,2.0,2.0
E02000233,4,4.0,5.0
E02000234,3,3.0,4.0
E02000235,5,5.0,6.0
E02000236,2,2.0,2.0
E02000237,2,2.0,2.0
E02000238,6,2.0,7.0
E02000239,8,2.0,7.0
E02000240,6,1.0,1.0
E02000241,7,1.0,1.0
E02000242,4,1.0,6.0
E02000243,9,2.0,7.0
E02000244,6,2.0,7.0
E02000245,6,0.0,0.0
E02000246,7,1.0,1.0
E02000247,6,1.0,1.0
E02000248,4,0.0,0.0
E02000249,8,1.0,1.0
E02000250,4,0.0,0.0
E02000251,5,0.0,0.0
E02000252,6,0.0,0.0
E02000253,6,0.0,0.0
E02000254,6,0.0,0.0
E02000255,7,0.0,0.0
E02000256,5,0.0,0.0
E02000257,6,0.0,0.0
E02000258,3,0.0,0.0
E02000259,5,0.0,0.0
E02000260,6,0.0,0.0
E02000261,5,1.0,1.0
E02000262,4,1.0,1.0
E02000263,5,0.0,0.0
E02000264,7,1.0,1.0
E02000265,5,0.0,0.0
E02000266,9,0.0,0.0
E02000267,3,0.0,0.0
E02000268,7,0.0,0.0
E02000269,6,0.0,0.0
E02000270,4,1.0,1.0
E02000271,4,1.0,1.0
E02000272,6,0.0,0.0
E02000274,7,1.0,1.0
E02000275,5,0.0,0.0
E02000276,5,0.0,0.0
E02000277,4,0.0,0.0
E02000278,4,0.0,0.0
E02000279,4,0.0,0.0
E02000280,4,0.0,0.0
E02000281,6,0.0,0.0
E02000282,6,0.0,0.0
E02000283,5,0.0,0.0
E02000284,4,0.0,0.0
E02000285,6,0.0,0.0
E02000286,4,0.0,0.0
E02000287,5,0.0,0.0
E02000288,7,0.0,0.0
E02000289,6,0.0,0.0
E02000290,8,2.0,14.0
E02000291,6,0.0,0.0
E02000292,7,0.0,0.0
E02000293,6,0.0,0.0
E02000294,7,2.0,14.0
E02000295,8,0.0,0.0
E02000296,7,0.0,0.0
E02000297,7,0.0,0.0
E02000298,10,0.0,0.0
E02000299,7,0.0,0.0
